algoritmo,hiperparametros,f1_macro,max_features,tipo_ngramas,usa_bigramas,balancing_method,tipo_oversampling
svm,"{'C': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.617878618384593,2000,unigramas+bigramas,True,undersampling,-
random_forest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6141273937189002,2000,unigramas+bigramas,True,undersampling,-
random_forest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6114641854350712,2000,unigramas+bigramas,True,undersampling,-
random_forest,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6081150571832007,2000,unigramas+bigramas,True,undersampling,-
random_forest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}",0.6038212985685797,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 100, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6029926206881894,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 100, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6029926206881894,2000,unigramas+bigramas,True,undersampling,-
random_forest,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.6028159189296042,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 100, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6024042730147308,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 100, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6024042730147308,2000,unigramas+bigramas,True,undersampling,-
random_forest,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.6023698800979125,2000,unigramas+bigramas,True,undersampling,-
random_forest,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}",0.600105849308358,2000,unigramas+bigramas,True,undersampling,-
random_forest,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 20}",0.6001019697335417,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 150, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5998775885052714,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 150, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5998775885052714,2000,unigramas+bigramas,True,undersampling,-
logistic_regression,"{'C': 125, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5992769255324977,2000,unigramas+bigramas,True,undersampling,-
