Algoritmo,Params,Accuracy,Precision_macro,Recall_macro,F1_macro
kNN,"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}",0.45185185185185184,0.5248080978183479,0.45185185185185184,0.39683055286761554
kNN,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}",0.44900284900284904,0.5300729447871365,0.4490028490028489,0.38675665089806477
kNN,"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}",0.45071225071225074,0.500551818224518,0.45071225071225063,0.38099400300747427
kNN,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}",0.445014245014245,0.5043783645055374,0.445014245014245,0.3712571122047092
kNN,"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}",0.4415954415954416,0.5464165935779576,0.4415954415954416,0.3692311020101946
kNN,"{'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}",0.4404558404558404,0.4857809310456693,0.4404558404558404,0.3623971014502737
kNN,"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}",0.4353276353276353,0.5055010003515827,0.4353276353276353,0.356045667083557
kNN,"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}",0.43418803418803426,0.48907953662148235,0.43418803418803414,0.3556772699217429
kNN,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.4296296296296296,0.5472247306578035,0.4296296296296296,0.348986656039222
kNN,"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}",0.4199430199430199,0.495739435090916,0.41994301994301997,0.3314525705915356
kNN,"{'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}",0.407977207977208,0.4621000244029457,0.407977207977208,0.31239287467496923
kNN,"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'uniform'}",0.3994301994301995,0.4662880335091401,0.3994301994301994,0.2992273095270824
